Date,Hour,Wind_SCADA,Total_PV,Total_CHP,Hydro_SCADA,Total_Small_Hydro,Total_Biomass
2026-09-02,1,70,0,20,15,8,3
2026-09-02,2,70,0,20,15,8,3
2026-09-02,3,70,0,20,15,8,3
2026-09-02,4,70,0,20,15,8,3
2026-09-02,5,70,0,20,15,8,3
2026-09-02,6,70,0,20,15,8,3
2026-09-02,7,70,20,20,15,8,3
2026-09-02,8,70,50,20,15,8,3
2026-09-02,9,70,90,20,15,8,3
2026-09-02,10,70,120,20,15,8,3
2026-09-02,11,70,150,20,15,8,3
2026-09-02,12,70,180,20,15,8,3
2026-09-02,13,70,180,20,15,8,3
2026-09-02,14,70,150,20,15,8,3
2026-09-02,15,70,120,20,15,8,3
2026-09-02,16,70,90,20,15,8,3
2026-09-02,17,70,50,20,15,8,3
2026-09-02,18,70,20,20,15,8,3
2026-09-02,19,70,0,20,15,8,3
2026-09-02,20,70,0,20,15,8,3
2026-09-02,21,70,0,20,15,8,3
2026-09-02,22,70,0,20,15,8,3
2026-09-02,23,70,0,20,15,8,3
2026-09-02,24,70,0,20,15,8,3
2026-09-04,1,70,0,20,15,8,3
2026-09-04,2,70,0,20,15,8,3
2026-09-04,3,70,0,20,15,8,3
2026-09-04,4,70,0,20,15,8,3
2026-09-04,5,70,0,20,15,8,3
2026-09-04,6,70,0,20,15,8,3
2026-09-04,7,70,20,20,15,8,3
2026-09-04,8,70,50,20,15,8,3
2026-09-04,9,70,90,20,15,8,3
2026-09-04,10,70,120,20,15,8,3
2026-09-04,11,70,150,20,15,8,3
2026-09-04,12,70,180,20,15,8,3
2026-09-04,13,70,180,20,15,8,3
2026-09-04,14,70,150,20,15,8,3
2026-09-04,15,70,120,20,15,8,3
2026-09-04,16,70,90,20,15,8,3
2026-09-04,17,70,50,20,15,8,3
2026-09-04,18,70,20,20,15,8,3
2026-09-04,19,70,0,20,15,8,3
2026-09-04,20,70,0,20,15,8,3
2026-09-04,21,70,0,20,15,8,3
2026-09-04,22,70,0,20,15,8,3
2026-09-04,23,70,0,20,15,8,3
2026-09-04,24,70,0,20,15,8,3
2026-09-05,1,70,0,20,15,8,3
2026-09-05,2,70,0,20,15,8,3
2026-09-05,3,70,0,20,15,8,3
2026-09-05,4,70,0,20,15,8,3
2026-09-05,5,70,0,20,15,8,3
2026-09-05,6,70,0,20,15,8,3
2026-09-05,7,70,20,20,15,8,3
2026-09-05,8,70,50,20,15,8,3
2026-09-05,9,70,90,20,15,8,3
2026-09-05,10,70,120,20,15,8,3
2026-09-05,11,70,150,20,15,8,3
2026-09-05,12,70,180,20,15,8,3
2026-09-05,13,70,180,20,15,8,3
2026-09-05,14,70,150,20,15,8,3
2026-09-05,15,70,120,20,15,8,3
2026-09-05,16,70,90,20,15,8,3
2026-09-05,17,70,50,20,15,8,3
2026-09-05,18,70,20,20,15,8,3
2026-09-05,19,70,0,20,15,8,3
2026-09-05,20,70,0,20,15,8,3
2026-09-05,21,70,0,20,15,8,3
2026-09-05,22,70,0,20,15,8,3
2026-09-05,23,70,0,20,15,8,3
2026-09-05,24,70,0,20,15,8,3
2026-09-06,1,70,0,20,15,8,3
2026-09-06,2,70,0,20,15,8,3
2026-09-06,3,70,0,20,15,8,3
2026-09-06,4,70,0,20,15,8,3
2026-09-06,5,70,0,20,15,8,3
2026-09-06,6,70,0,20,15,8,3
2026-09-06,7,70,20,20,15,8,3
2026-09-06,8,70,50,20,15,8,3
2026-09-06,9,70,90,20,15,8,3
2026-09-06,10,70,120,20,15,8,3
2026-09-06,11,70,150,20,15,8,3
2026-09-06,12,70,180,20,15,8,3
2026-09-06,13,70,180,20,15,8,3
2026-09-06,14,70,150,20,15,8,3
2026-09-06,15,70,120,20,15,8,3
2026-09-06,16,70,90,20,15,8,3
2026-09-06,17,70,50,20,15,8,3
2026-09-06,18,70,20,20,15,8,3
2026-09-06,19,70,0,20,15,8,3
2026-09-06,20,70,0,20,15,8,3
2026-09-06,21,70,0,20,15,8,3
2026-09-06,22,70,0,20,15,8,3
2026-09-06,23,70,0,20,15,8,3
2026-09-06,24,70,0,20,15,8,3
2026-09-07,1,70,0,20,15,8,3
2026-09-07,2,70,0,20,15,8,3
2026-09-07,3,70,0,20,15,8,3
2026-09-07,4,70,0,20,15,8,3
2026-09-07,5,70,0,20,15,8,3
2026-09-07,6,70,0,20,15,8,3
2026-09-07,7,70,20,20,15,8,3
2026-09-07,8,70,50,20,15,8,3
2026-09-07,9,70,90,20,15,8,3
2026-09-07,10,70,120,20,15,8,3
2026-09-07,11,70,150,20,15,8,3
2026-09-07,12,70,180,20,15,8,3
2026-09-07,13,70,180,20,15,8,3
2026-09-07,14,70,150,20,15,8,3
2026-09-07,15,70,120,20,15,8,3
2026-09-07,16,70,90,20,15,8,3
2026-09-07,17,70,50,20,15,8,3
2026-09-07,18,70,20,20,15,8,3
2026-09-07,19,70,0,20,15,8,3
2026-09-07,20,70,0,20,15,8,3
2026-09-07,21,70,0,20,15,8,3
2026-09-07,22,70,0,20,15,8,3
2026-09-07,23,70,0,20,15,8,3
2026-09-07,24,70,0,20,15,8,3
